Sample_ID,trimmed_count
ucin355,2036390
ucin226,253158
ucin350,866765
ucin351re,1236127
ucin102,747433
ucin139,382345
ucin135,55761
ucin253,559450
ucin026,919950
ucin411z,246691
ucin349conc,99372
ucin258,548099
ucin300,549986
ucin400,862261
ucin414,414058
ucin273,727222
ucin178,216819
ucin142,548303
ucin319z,147404
ucin251,817020
ucin235z,578231
ucin402,705183
ucin261,510683
ucin326conc,617203
ucin113,901363
ucin234,787251
ucin381,393431
ucin167conc,501338
ucin341conc,322579
ucin249,745656
ucin309,476417
ucin268,833025
ucin179REz,222152
ucin435,923569
ucin122re,147919
ucin162conc,532111
ucin211RE,1421443
ucin043,564626
ucin168,398515
ucin327re,611546
ucin238,349583
ucin246z,403187
ucin123z,798443
ucin301,538111
ucin274re,505668
ucin360,145981
ucin256,272271
ucin003,538144
ucin277z,307713
ucin262reconc,868282
ucin317z,413867
ucin320z,659980
ucin104,881288
ucin308,193034
ucin094,424762
ucin333,34560
ucin325re,38414
ucin417z,137335
ucin232,762798
ucin151,545043
ucin434,496031
ucin009z,1053866
ucin346,1185410
ucin231,747914
ucin053conc,823713
ucin130z,801099
ucin415,73655
ucin046z,482030
ucin047conc,730189
ucin033,967242
ucin316,830202
ucin012RE,1792153
ucin017,873459
ucin209,689396
ucin239,1023434
ucin332,339248
ucin261replicate,122158
ucin157conc,417293
ucin013re,1475105
ucin339,232825
ucin097,856722
ucin106,860323
ucin244,471949
ucin080z,1281675
ucin021,1111241
ucin278z,406553
ucin103,450238
ucin401,1197911
ucin315,539319
ucin424,1044288
ucin425,672439
ucin182conc,309378
ucin091,594425
ucin267,929434
ucin007,1333476
ucin022,931665
ucin405,1044339
ucin055,208914
ucin081,474784
ucin269,941506
ucin242,202649
ucin271REz,205982
ucin384REz,16066
ucin361,1338462
ucin321,1074452
ucin382,130719
ucin107,632329
ucin259,766310
ucin305,345882
ucin312,48873
ucin121conc,567035
ucin127,490065
ucin153conc,280869
ucin181conc,244566
ucin343conc,664479
ucin110,627384
ucin089,588015
ucin125,536460
ucin386,843760
ucin218,326379
ucin215,185311
ucin093,595710
ucin260reconc,688958
ucin161conc,376822
ucin054,612814
ucin322,256376
ucin420,663013
ucin205,1049330
